No,Style Category,Design_DNA,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Complexity,Signature_Elements,Composition_Rules
92,Product Showcase Minimal,hero product theater,General,"product showcase, hero photography, hardware, automotive, smart home, tech product, contrast sections, black white, alternating, clean, minimal, product launch, device, robot, appliance, gadget, physical product","Pure White #FFFFFF, Jet Black #000000, single accent: Neon Yellow-Green #D4FF00 or Signal Red #FF4500","Light Grey #F5F5F5, Mid Grey #9CA3AF, Warm Cream #F5F0E6, Dark Charcoal #1A1A1A",Product hero subtle floating animation or slow rotation; scroll-triggered section color inversion (white→black); parallax product image with depth layering; specification numbers count-up on scroll into view; hover card gentle lift with shadow expansion; staggered feature grid entrance 200ms ease-out,"Hardware products, automotive, smart home devices, robotics, appliances, tech launches, physical product landing pages, gadget showcases","SaaS dashboards, social apps, content-heavy blogs, children apps, abstract/conceptual brands",✓ Full (alternating with dark sections),✓ Full (alternating with light sections),⚡ Excellent,✓ WCAG AA,✓ Good,Medium,Alternating pure black and pure white section blocks; hero-dominant product photography at massive scale; single vivid accent color used only on CTAs; oversized sans-serif headlines with extreme weight; specifications in grid with large numbers; product floating/cut-out photography against clean background,Center-aligned hero with single primary focal point; Generous negative space between content blocks; Grid-driven layout with consistent column rhythm
93,Playful SaaS Dashboard,warm playful workspace,General,"playful dashboard, colorful, fun, saas admin, e-commerce admin, rounded, vibrant cards, olive, yellow-green, team management, workflow, bento, cheerful, approachable, modern admin","Soft Sage #E8EDE4, Olive Accent #A3B763, Warm Yellow #F5D547","Deep Forest #2D3B2D, Card White #FFFFFF, Muted Text #6B7280, Soft Blue #93C5FD",Card hover gentle scale-up with colorful shadow tint; metric number count-up with spring bounce; chart bars grow-up from baseline 300ms ease-out; notification badge bounce-in with overshoot; sidebar icon active state color crossfade; staggered card entrance 50ms interval fade-up,"E-commerce admin panels, team/project management, marketing dashboards, content management, education admin, HR platforms, small business tools","Fintech/trading, cybersecurity, medical, enterprise requiring conservative aesthetics",✓ Light Primary,◐ Partial,⚡ Excellent,✓ WCAG AA,✓ Good,Low,Soft sage/olive-tinted background creating warm dashboard atmosphere; colorful accent cards with varied hue for different data categories; rounded containers with generous padding; photography and illustration mixed naturally in cards; playful yellow-green accent on interactive elements; friendly metric visualizations with rounded chart elements,Grid-driven layout with consistent column rhythm; Dynamic content blocks with varied sizes and color accents; Generous negative space between content blocks
94,Fashion Editorial (Mobile),magazine spread luxury,Mobile,"fashion, editorial, mobile, e-commerce, magazine, serif, photography, luxury, street style, apparel, lookbook, dark light contrast, swipe, card stack, boutique, clothing brand, lifestyle","Ink Black #0F0F0F, Paper White #FAFAFA, single accent only (brand-dependent)","Warm Grey #A3A09C, Off-White #F5F2ED, Deep Charcoal #1A1A1A, Border #E5E5E5",Full-bleed product photography with overlay text; horizontal swipe card stack with spring snap-back; scroll-triggered image parallax within masked cards; category tab switch with horizontal slide; product card hover/press subtle darkening overlay; haptic light on add-to-cart and navigation,"Fashion e-commerce, clothing brands, lookbook apps, lifestyle brands, luxury retail mobile, magazine apps, editorial content","Utility tools, fintech, data dashboards, children apps, gaming",✓ Full,✓ Full (inverted sections),⚡ Excellent,⚠ Moderate (text over photography),✓ Mobile-First,Medium,fashion; editorial; photography; serif; Full-bleed product photography dominating 70% of screen; display serif headlines over image with dark gradient overlay; pure black/white alternating sections for dramatic rhythm; minimal UI chrome — product imagery is the interface; horizontal scrolling product rows within vertical feed,Typography-led sections with dramatic scale contrast; Asymmetric balance to create visual tension; Dark surface hierarchy with light text for depth
95,Brand-Immersive Utility (Mobile),brand-saturated utility,Mobile,"brand color, immersive, utility, transport, ticket, bold background, functional, travel, booking, green, orange, saturated, tool, weather, atmospheric, forecast, sky, clock, monospace, data-dense, industrial","Brand Saturated (e.g. Forest Green #1B5E20 or Bold Orange #E65100), Pure White #FFFFFF, Jet Black #000000","Tinted Light (brand at 10% opacity), Dark Tint (brand at 80% darken), Functional Grey #6B7280",Bottom sheet slide-up with spring damping for details; ticket/card flip animation on confirmation; tab switch with brand-tinted crossfade; data number slide-counter transition; press scale 0.96 with brand shadow; haptic medium on booking/confirm actions,"Transit/booking apps, ticket apps, weather apps, utility tools, clock/timer, industrial IoT mobile, branded service apps, airline/transport","Social/dating, luxury fashion, meditation, children apps, content-heavy reading",✓ Brand-tinted light,✓ Brand-tinted dark,⚡ Excellent,✓ WCAG AA (high contrast brand on white),✓ Mobile-First,Low,brand color; immersive; utility; saturated; Large brand-color hero section covering top 40% of screen; white content cards emerging from brand-colored zone; ticket/boarding-pass metaphor cards with rounded corners and perforation; monospace or condensed sans for data/numbers; functional iconography in brand color tint,Center-aligned hero with single primary focal point; Dynamic content blocks with varied sizes and color accents
96,Pentagram Supergraphics,typography as architecture,General,pentagram supergraphic paula-scher typography huge display oversized brand cultural museum institution editorial agency festival,"One bold brand color, Black #000000, White #FFFFFF","Two-color systematic palette, full-bleed color blocks, no greys",Typography enters via scale-clip mask 400-600ms ease-out; section transitions with full-bleed color wash; horizontal-scroll type walls; cursor-following color swatches in interactive zones,"Brand identity sites, cultural institutions, museums, design agencies, festivals, publishers, art platforms, corporate brand sites","Data dashboards, e-commerce listings, productivity tools, dense forms",✓ Full,✓ Partial,⚡ Good,✓ WCAG AA,○ Medium,Medium,Display typography occupies 60-80% of viewport in hero; ultra-bold against thin weight contrast in same word; color blocks bleed to viewport edges; type overlaps photography edges; full-bleed color sections replace card containers,Full-bleed typographic hero replacing image hero; asymmetric content blocks anchored by oversized type; horizontal-scrolling sections as type walls; deliberate asymmetric weight balance
97,Aicher Pictogram System,systematic geometric clarity,General,aicher pictogram olympic system signage wayfinding modular icon international navigation public education government transit,"Black #000000, White #FFFFFF, modular category color",4-6 modular category colors warm/cool spread for navigation,Pictograms morph on category switch via SVG path interpolation 250-300ms ease-out; modular grid snap on selection; pictogram stagger reveal on page enter 60ms interval; no skeuomorphic icon shadows,"Multi-language platforms, public services, education, government, transit, healthcare wayfinding, large-form navigation, exhibition guides","Emotional storytelling, luxury brands, photography portfolios, dense data dashboards",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,Low,All icons built from single geometric primitive system (circle plus 45/90-degree lines); modular color-coding for categories; pictogram-first navigation replacing text labels; consistent stroke weight across all icons,Grid of equally-sized pictogram tiles as primary navigation; color-coded category bands at top; secondary content unfolds below pictogram on selection
98,Tanaka Poster Modernism,flat bold shape with kanji,General,tanaka japanese poster modernism flat shape kanji cultural museum tea zen lacquer vermilion indigo gold restraint,"Off-White #F7F4ED, Lacquer Black #1C1917, accent vermilion/indigo/gold","Vermilion #B91C1C, Indigo #1E3A8A, Gold #C19A49, restrained palette",Color block slow reveal wiping from edge 600-800ms ease-out; kanji or sans characters fade up sequentially 80ms interval; no parallax; section transitions wipe across with single color block; deliberate slow pacing,"Cultural brands, art galleries, museums, tea/lifestyle brands, traditional craft, restaurant brands, fashion editorial, exhibition catalogs","Productivity tools, dashboards, e-commerce listings, gaming, fintech",✓ Full,✓ Partial,⚡ Excellent,✓ WCAG AA,✓ High,Low,Single bold flat-color silhouette anchors hero (no photography); single vermilion or indigo accent dot; serif kanji or wide-spaced sans titles set in negative space; lacquer-like deep blacks against off-white paper; generous margins as breathing space,Asymmetric balance between silhouette and type; vertical reading flow with right-margin annotations; sparse content blocks with significant negative space; single visual anchor per section
99,Carson Deconstructed Editorial,controlled type chaos,General,carson deconstructed grunge ray-gun magazine experimental chaos editorial layered type counterculture music indie,"Distressed Black #1A1A1A, Newsprint Off-White #F0EDE5, distressed accent","Faded warm grays, single dirty primary (rust orange/sea green/faded magenta)",Text shifts on hover with subpixel jitter; layered type overlaps with mix-blend; section transitions with film-burn flash 200ms; cursor leaves trailing ghost-type; deliberate misalignment animations,"Music platforms, indie magazines, art platforms, counterculture brands, experimental editorial, creative agency portfolios, festival sites","Enterprise software, healthcare, finance, dashboards, accessibility-critical apps, e-commerce",✓ Full,✓ Full,○ Good,△ WCAG AA partial,○ Medium,High,Type at extreme size contrasts (display 96px next to caption 6px); deliberate text overlap on photography; multiple typefaces clashing in same headline; broken grid where columns shift mid-page; text fragments rotated at angles,No regular grid — content arranged by visual mass; photography acts as type background; pull quotes at extreme angles; intentional white-space asymmetry; layered z-stacks of type and image
100,Weingart Postmodern Type,controlled grid disruption,General,weingart postmodern swiss disrupted type grid layered art-school experimental basel halftone offset cultural avant-garde,"Off-White #FAFAF9, Deep Black #0F0F0F, saturated accent (electric blue/hot pink/lime)","Three-color systematic palette including one saturated, color overlap zones",Type layers slide into place with offset stagger 200ms apart per layer; section transitions reveal underlying grid lines for 400ms; hover state reveals alternate type layer beneath; halftone texture parallax on scroll,"Art schools, cultural institutions, contemporary galleries, design publications, experimental brand sites, festival platforms, creative agency editorial","Productivity tools, e-commerce checkout, government services, healthcare apps",✓ Full,✓ Partial,⚡ Good,✓ WCAG AA,○ Medium,High,Visible grid lines treated as design element (not hidden); multiple type sizes stacked in same column creating mid-air hierarchy; saturated accent used as solid block behind type; halftone-style dot patterns as texture; deliberate misregistration of color blocks (Risograph-like offset),Grid is visible and broken at intentional points; type runs at angles within grid cells; deliberate misregistration of color blocks; layered type on top of saturated color fields
101,Super-Normal Industrial,object-first quiet design,General,super-normal fukasawa muji elevated industrial without-thought lifestyle object quiet ceramic tea slow-fashion household product-showcase,"Soft White #F7F5F0, Warm Grey #C5BFB5, Pure Black #0A0A0A","Single tonal accent (soft khaki/pale clay/dust blue), no saturated colors",Photography-led parallax 400ms ease-out; object close-up reveal on hover with subtle scale 1.02; scroll-driven crossfades between product images; no flashy transitions; warm-grey shadow drift on scroll,"Lifestyle brands, household goods, ceramics, tea/coffee brands, slow-fashion, product showcases, design archives, craft commerce","Dashboards, gaming, finance, urgent CTAs, flash sales, high-density data",✓ Full,✓ Partial,⚡ Excellent,✓ WCAG AAA,✓ High,Low,"Macro product photography fills 70%+ of view; surrounding type is small, restrained, perfectly aligned to product silhouette; no decoration except photography; warm-grey object shadows are the only drawn elements; type as label not headline",Photography-first composition; type as label not headline; spacious vertical scroll with single product anchoring each section; deliberate generous margins
102,Pitch Black Productivity,developer-tool clarity,General,linear vercel pitch-black productivity developer minimal neon technical saas cursor resend documentation enterprise ai-platform infrastructure,"True Black #000000, Mid Grey #18181B, Soft White #FAFAFA","Single neon accent (Linear violet #5E6AD2 / Vercel cyan #00DCFF / lime #00FFA3), Grayscale 100-900 steps",Linear 100-150ms transitions (no spring/bounce); subtle hover brightness +5-10%; instant state changes; thin 1px focus rings; keyboard-driven command palette with Cmd+K; no decorative animations,"Developer tools, B2B SaaS, productivity apps, fintech, technical documentation, AI/ML platforms, infrastructure tools, enterprise dashboards (dark mode)","Consumer marketing, e-commerce, creative portfolios, kids products, emotional storytelling, festive H5",○ Partial,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,Low,Single neon accent reserved for active/focused state only; mono-stack typography (Inter Tight + JetBrains Mono); 1px hairline dividers replacing card borders; ultra-tight letter-spacing on headings; keyboard shortcuts visible on every interactive element,Sidebar-content split with command palette overlay; high information density at default zoom; keyboard shortcut indicators in every interactive element; flat hierarchy with hairline dividers
103,Editorial Enterprise,serif authority with data density,General,bloomberg ft editorial enterprise serif financial news authority brodovitch newspaper authoritative data-journalism corporate research-report executive-intelligence b2b,"Newsprint Cream #FAF9F5, Deep Ink #0F0F0F, Authority Red #B22222","Charcoal #2C2C2C, Slate Grey #6B6B6B, single editorial accent (red/amber/teal)",Slow scroll-triggered fade-up 400-600ms; serif weight emphasis on hover; column-snap on resize; subtle text underline reveal on link hover; no parallax; dateline timestamps tick-update on real-time data,"Financial dashboards, news platforms, enterprise reporting, corporate annual reports, research publications, executive intelligence dashboards, B2B media, market analysis","Casual consumer apps, gaming, kids products, beauty/wellness mobile, festive H5",✓ Full,✓ Partial,⚡ Excellent,✓ WCAG AAA,○ Medium,Medium,Newspaper-style multi-column grid (3-5 columns); data tables with editorial line rules instead of cell borders; serif body text with drop caps on long-form sections; small-caps eyebrow labels above headlines; section datelines replace generic headings,Multi-column editorial grid; front-page hierarchy with one dominant story; data visualizations integrated as infographic boxes with serif callouts; sidebar reserved for related-content rather than navigation
104,Notion Warm Workspace,friendly serious productivity,General,notion warm workspace friendly enterprise serif knowledge-base documentation collaboration team productivity humanized stripe-docs linear-docs handbook,"Warm White #FBFAF7, Off-Black #1F1F1F, soft accent (peach/sage/sky)","Tan Beige #E8E4DC, single saturated tag color, warm grey scale",Gentle 200-300ms ease-out transitions; serif heading subtle weight emphasis on hover; emoji-icon scale-bounce on hover (within restraint); sidebar items have warm hover states; modal overlays with warm dimming; smooth nested-page transitions,"Productivity apps, knowledge bases, documentation sites, team collaboration tools, SaaS dashboards (humanized), education platforms, B2B with consumer feel, internal wiki","Trading platforms, defense/security, urgent monitoring dashboards, gaming, e-commerce flash sales",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,Low,Serif (Lyon/Tiempos/Songti) for headings + sans for body creating documentary feel; warm whites instead of pure white; soft round-edged callouts; sidebar with hierarchical indent visualization; subtle illustrated icons for sections,Document-style page with sidebar TOC; max-width content column 720-840px; generous paragraph spacing; page-within-page hierarchy for nested content
105,Japandi Mobile,wabi-sabi functional warmth,Mobile,japandi japanese scandinavian minimal warm neutral natural craft organic wooden stone calm wellness lifestyle slow-living artisan,"Warm Charcoal #2C2825, Cream White #F5F0E8","Sage #8B9B7A, Clay #C4A882, Stone #9A8F85, Linen #EDE8DC",Gentle fade-in entrance 400ms ease-out; subtle scale 1.0→1.02 on card hover with warm shadow spread; scroll-triggered section reveal upward float 300ms; bottom sheet slide-up with spring damping 0.8; haptic light on primary actions; no bounce — smooth linear deceleration; leaf-pattern SVG divider reveal on scroll,"lifestyle apps, wellness, home decor, slow-living brands, artisan e-commerce, tea/cafe apps, journal apps, minimalist todo","gaming, fintech/crypto, high-energy marketing, neon products",✓ Full,◐ Partial,⚡ Excellent,✓ WCAG AA,✓ Mobile-First,Low,Warm cream/linen base with charcoal ink typography; botanical and wood-grain micro-textures as subtle background overlays; asymmetric negative space evoking Japanese ma (間) principle; natural material photography with warm diffuse top light; single sage or clay accent sparingly on interactive elements; zero decorative flourishes — structure through proportion alone,Single-column content with generous breathing margins; content blocks separated by full-width nature dividers or ample whitespace; image-text interleave with 60/40 split; bottom-anchored primary CTA with no visual competition above
106,Risograph Mobile,spot-color print indie,Mobile,risograph riso print spot color grain zine indie cultural limited palette two-color print texture lo-fi underground music art cultural,"Warm Red #CC3333, Deep Teal #006666","Off-White #F5F0E8, Paper Cream #EDE8DC, Near Black #1C1916",Instant color-block transitions on press (no easing — screen-print metaphor); misregistration offset shift on section reveal 200ms; grain texture overlay fades in on scroll into view; sticker-pop entrance with overshoot spring 0.6 damping; tap-to-invert card state (bg/fg swap); no gradient animations — all transitions binary or near-binary,"cultural apps, music platforms, indie editorial, creative portfolio mobile, festival apps, art community, underground brands","enterprise, finance, healthcare, conservative brands",✓ Full,◐ Partial,⚡ Excellent,✓ WCAG AA,✓ Mobile-First,Low,Two-color spot palette (warm red + deep teal) with deliberate misregistration offset; paper-grain texture at 8-12% opacity on all surfaces; limited flat color fills — no gradients; halftone dot pattern used as tonal shading; bold condensed typography in single weight; ink-bleed rounding on sharp corners for analog feel,Asymmetric grid with intentional misalignment between text and image layers; large color-block sections alternate foreground/background colors; text runs close to edges evoking zine layout; single full-bleed image per section with type overlay
107,Eastern Craft Mobile,ink-wash mobile contemplation,Mobile,chinese ink shuimo guochao calligraphy ink wash rice paper vermilion seal stamp chinese app mobile ink-wash,"Ink Black #1C1714, Rice Paper #F0EBE0","Vermilion #B91C1C, Stone Grey #8A8380, Ochre #C4A35A, Muted #A09880","Slow ink-wash reveal on page load — content fades up with ink-bleed spread 500-700ms ease-out; scroll-triggered brush-stroke divider animation; vermilion CTA press animation (scale 1.0→0.95→1.0, 300ms); haptic medium on primary interactions; parallax ink-wash background drift; section transitions with paper-fold metaphor","cultural apps, Chinese lifestyle brands, tea culture, calligraphy tools, traditional craft e-commerce, heritage brands, meditation, cultural content apps","tech SaaS, gaming, neon products, children apps, fast-paced e-commerce",✓ Full,◐ Partial,⚡ Excellent,✓ WCAG AA,✓ Mobile-First,Medium,Rice paper warm base with deep ink typography; vermilion accent reserved for primary CTAs and decorative dots; ink-wash mountain or bamboo motifs as decorative section backgrounds at low opacity; vertical calligraphy headings as option for hero; generous ma (negative space) separating content blocks; brush-stroke horizontal rules as dividers,Full-bleed ink-wash hero with centered centered cultural imagery; alternating text-left / image-right bands below fold; product photography with warm lustre lighting on rice paper or stone surface; single vermilion anchor per section maximum
108,Warm Productivity Mobile,warm humanized workspace,Mobile,warm productivity notes todo task journal workspace collaboration friendly humanized notion analog planner warm white tan beige serif daily routine,"Off-Black #1F1F1F, Warm White #FBFAF7","Tan Beige #E8E4DC, Sage Accent #6B9E7A, Soft Red #E87A7A, Muted #8A8680",Gentle 200-300ms ease-out transitions; checkbox completion with spring scale bounce + haptic light; card press scale 0.98 with warm shadow shrink; sidebar item warm background hover transition; page navigation smooth cross-dissolve; emoji or icon gentle scale on hover; staggered list item entrance 50ms interval fade-up; bottom sheet spring slide-up,"note-taking apps, todo/task apps, habit trackers, personal planners, journal apps, team collaboration, productivity tools, daily routine apps","trading/fintech, gaming, medical clinical, high-energy marketing",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ Mobile-First,Low,Warm white/ivory canvas replacing pure white; serif headings paired with friendly sans body text; tan beige card backgrounds distinguishing content layers; sage accent on completion and positive states; soft red for alerts without clinical feel; sidebar or tag chips with warm hover states; document-metaphor page containers,Document-style single-column layout with sidebar TOC on tablet; max-width content column with generous paragraph spacing; page-within-page hierarchy for nested content; warm-tinted section headers replacing harsh dividers
109,Sports Action Mobile,kinetic athletic momentum,Mobile,sports action fitness workout running cycling gym bold energy dynamic live score leaderboard athletic performance tracking competition team exercise outdoor,"Signal Orange #FF5722, Jet Black #0A0A0A","Pure White #FFFFFF, Mid Grey #2A2A2A, Muted #787878, Accent Yellow #FFD600",High-velocity spring press 0.95 scale with haptic medium impact; score update counter-punch animation (number slides up with motion blur); streak fire particle burst on achievement; live pulse dot animation 1.5s ease-in-out; horizontal marquee for live scores at 8s loop; card swipe with momentum and elastic edge bounce; progress bar fill with spring overshoot; 150-250ms all transitions — speed signals energy,"sports apps, fitness trackers, workout apps, live score apps, team management, running/cycling GPS, competition platforms, sports social","meditation, wellness calm, luxury fashion, healthcare clinical, finance",✓ Full,✓ Dark Primary,⚡ Excellent,✓ WCAG AA,✓ Mobile-First,Medium,Signal orange + jet black high-contrast foundation; condensed bold typography for scores and metrics; diagonal slash dividers and angled card cuts evoking athletic momentum; motion-blur number transitions for live data; orange progress indicators and achievement rings; dark hero with orange spotlight on key metric; bold iconography in solid containers,Hero metric dominates top third at massive scale; supporting stats in dense grid below; horizontal scrolling live feed in compact strip; bottom tab anchors core navigation with active state in orange
110,Clinical Clean Mobile,sterile clinical precision,Mobile,healthcare medical clinic hospital patient doctor appointment pharmacy pill prescription health record clinical sterile diagnostic lab physiological accessible,"Clinical Blue #2563EB, Pure White #FFFFFF","Soft White #F8FAFC, Slate #64748B, Success Green #16A34A, Alert Red #DC2626, Border #E2E8F0",Calm 200ms ease-out only — no spring bounce in clinical contexts; form field focus with 2px blue border animation; button press scale 0.98 without shadow; loading skeleton pulse in soft blue-grey; success confirmation checkmark draw animation 400ms; alert banner slide-down from top; haptic light on form submit; page transitions cross-dissolve at 150ms,"medical apps, pharmacy apps, patient records, appointment booking, healthcare platforms, medical device companions, clinical tools","gaming, entertainment, Gen-Z social, luxury fashion, anything decorative",✓ Full,◐ Partial,⚡ Excellent,✓ WCAG AAA,✓ Mobile-First,Low,Pure white / soft white (#F8FAFC) background with clinical blue primary actions; no decorative elements — information density serves function only; large accessible touch targets (min 48×48px); traffic-light status system (green/amber/red) for health indicators; clean 1px border (#E2E8F0) separating sections; monospace or tabular figures for medical values and dosages,Linear single-column flow with predictable landmark regions; form fields stacked vertically with generous spacing; status cards in horizontal grid; critical alerts pinned at top; primary CTA full-width at bottom of form; no overlapping layers or decorative depth effects
111,Film Warm Mobile,analog film warmth nostalgia,Mobile,film grain polaroid vintage photo analog warm nostalgic camera photography filter memory retro warm amber faded soft journal diary,"Warm Cream #F5E6C8, Deep Espresso #2C1A0E","Amber #D47C2A, Faded Pink #E8B4A0, Sage Muted #7A8C6E, Near Black #1C1410",Film grain texture overlay animated at very low opacity (3-5%); Polaroid-shake entrance animation on photo cards 300ms ease-out; warm amber color grade on image cards via CSS filter; light-leak glow animation at card top edge on entrance; scroll-triggered reveal with slow fade-up 400ms; haptic light on photo interactions; no bright flash transitions — all warm and unhurried,"photo apps, memory/album apps, journal apps, travel photo, film camera apps, nostalgia apps, lifestyle content, analog aesthetic brands","clinical, fintech, enterprise, fast-paced utility tools",✓ Full,◐ Partial,⚡ Excellent,✓ WCAG AA,✓ Mobile-First,Low,Warm cream base with film-grain noise overlay at 4-6% opacity; Polaroid-frame photo containers with rounded corners and cream border; amber color grade warming all photography; faded halftone dot backgrounds evoking developed film; handwritten-style typography for captions; warm espresso text on cream background creating aged-photograph atmosphere,Photo-first layout with images spanning 80-90% of card width; Polaroid stacks with slight rotation (-2/+2deg) for casual feel; vertical scroll through memory timeline; minimal chrome — photo is the interface; caption text below image in small warm type
112,Social Warm Mobile,warm social connection,Mobile,social dating community friends connection warm friendly profile feed activity warm-toned coral orange vibrant approachable young adult relationship,"Coral #FF6B6B, Warm Amber #FF9A3C","Canvas White #FAFAFA, Deep Charcoal #1A1A2E, Muted #8B8FA3, Soft Lavender #E8E4F0",Swipe card with spring momentum and rotation (-15 to +15deg); heart/reaction burst with particle spray 400ms spring; match notification with confetti rain animation; profile card press scale 0.97 with coral shadow spread; bottom sheet profile expand with spring damping 20; story ring pulsing gradient animation; haptic medium on match/like interactions; 200-300ms all base transitions,"dating apps, social networking, friend-making, community platforms, event social, warm consumer apps, lifestyle social","enterprise B2B, medical/clinical, finance, cold-professional tools",✓ Full,◐ Partial,⚡ Excellent,✓ WCAG AA,✓ Mobile-First,Medium,Coral-to-amber gradient as primary CTA and active-state identity; circular avatar cards with color-coded ring states; reaction emoji floating animations above content; warm ambient card shadows (coral at 15% opacity); match/connection celebration animation with warm confetti; bottom navigation with gradient active tab indicator,Full-screen card stack for swipe interaction; profile hero image at 65% of screen height; action buttons centered below in horizontal trio; feed uses card-stack with gradient overlay on images; horizontal story row pinned at top of feed
113,Startup Fresh,clean energetic startup clarity,General,startup saas clean bright fresh modern indie railway vercel clerk light minimal functional crisp developer-friendly product-led growth,"Near Black #0F0F0F, Pure White #FFFFFF","Brand Accent (violet #6366F1 or green #16A34A or cyan #06B6D4), Light Grey #F4F4F5, Muted #71717A, Border #E4E4E7",Linear 100-150ms transitions — speed signals confidence; subtle hover brightness shift +8%; card hover thin border-color brighten to accent; CTA button arrow shift on hover +4px; smooth page-section scroll; skeleton loading in light grey; command palette Cmd+K with instant reveal; no decorative animations — function-first,"early-stage SaaS, developer tools, product-led growth platforms, indie products, startup landing + dashboard, API products","luxury brands, entertainment, heavy decorative, children apps",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,Low,Near-black on pure white foundation with single brand accent; hairline 1px borders in light grey (#E4E4E7) replacing card shadows; small-caps or tight-tracked label above section headlines; monospace code snippets as decorative and functional elements; single accent color used only on primary CTA and active nav states; grid-aligned feature blocks with clean icon containers,Centered max-width hero (1280px) with generous horizontal padding; feature grid in 3-column layout with hairline dividers; pricing table centered with clear tier differentiation; footer in dense multi-column grid; consistent 8px base spacing unit throughout
114,Admin Pro Light,functional dense admin clarity,General,admin management backend console crud table list user management permission role settings configuration retool airtable operations light clean functional dense,"Slate Blue #334155, Pure White #FFFFFF","Light Grey #F8FAFC, Border #E2E8F0, Muted #94A3B8, Success #16A34A, Warning #D97706, Danger #DC2626",Instant 100ms row hover background tint; table sort column indicator fade; filter panel slide-in from right 200ms ease-out; toast notification slide-down from top-right; pagination number crossfade; modal overlay 150ms backdrop fade; inline edit field border animate to active; no decorative motion — every animation serves a functional state change,"admin panels, back-office systems, CRM, ERP-lite, operations dashboards, internal tools, data management platforms","consumer apps, marketing landing, entertainment, gaming",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,Low,White content area on light grey (#F8FAFC) shell; traffic-light badge system (success/warning/danger) for status; slate blue sidebar navigation with active state highlight; data tables with alternating row tints and sortable column headers; compact 4px base spacing unit for information density; breadcrumb navigation above every page,Fixed left sidebar (240px) with scrollable main content area; top bar with breadcrumb + global search + user avatar; content in full-width white card with internal section tabs; data table fills available width with sticky header column; action buttons right-aligned above table
115,Warm SaaS Mobile,approachable warm product app,Mobile,saas mobile warm friendly approachable collaborative team product app orange peach amber workflow crm b2b warm-toned startup,"Warm Amber #F59E0B, Off-Black #1C1917","Warm White #FEFCE8, Stone #78716C, Soft Green #86EFAC, Border #E7E5E4",Spring card press 0.97 scale with amber shadow spread; kanban card drag with shadow elevation increase; status badge warm crossfade on update; bottom sheet slide-up spring damping 18; notification amber pulse on new activity; tab switch horizontal slide 200ms ease-out; haptic light on task completion; staggered card entrance 60ms interval fade-up from Y+16,"collaborative SaaS mobile apps, CRM mobile, project management apps, team productivity, warm B2B tools, startup companion apps","dark/tech fintech, gaming, clinical, high-precision data tools",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ Mobile-First,Low,Warm amber primary accent on off-black foundation; kanban-card metaphor for task/deal objects; warm white (#FEFCE8) surface for content cards replacing pure white; amber dot indicators for live/active status; stone-tinted secondary labels and muted text; soft green for completion and positive states,Top nav with breadcrumb and avatar; scrollable card feed as primary content; horizontal-scroll category filter strip below nav; bottom tab with amber active indicator; FAB in amber for primary create action at bottom-right
116,Risograph Editorial,spot-color print web,General,risograph riso print spot color grain zine indie cultural limited palette two-color print texture lo-fi editorial web cultural brand music,"Warm Red #CC3333, Deep Teal #006666","Off-White #F5F0E8, Paper Cream #EDE8DC, Near Black #1C1916",Scroll-triggered misregistration offset reveal — text and image layers settle into alignment 400ms ease-out; hover state adds subtle misregistration offset (+2px translate) evoking off-register print; section transitions with hard color-block wipe (no gradient fade); grain texture intensifies on active section via opacity crossfade; no motion-heavy animations — lo-fi print aesthetic restraint,"cultural brands, music platforms, indie editorial, zine-style sites, festival landing, creative agency, art platforms","enterprise, dashboards, healthcare, conservative finance",✓ Full,◐ Partial,⚡ Excellent,✓ WCAG AA,✓ High,Low,Two-color spot palette with deliberate misregistration; halftone dot pattern as tonal shading and decorative texture; paper grain texture at 8-12% opacity across all surfaces; limited flat color blocking — no gradients; bold condensed display type mixing ink-heavy weight with fine caption; section dividers as full-bleed color blocks alternating between the two spot colors,Asymmetric editorial grid with text and image on independent tracks; full-bleed color-block sections break between editorial chapters; oversized display type runs edge-to-edge as graphic element; image captions set in small misregistered color for analog feel; footer in solid near-black with off-white reversed type
