No,Product Type,Primary,On Primary,Secondary,On Secondary,Accent,On Accent,Background,Foreground,Card,Card Foreground,Muted,Muted Foreground,Border,Destructive,On Destructive,Ring,Keywords,Notes
264,Healthcare / Wellness (Calm Blue),#1E40AF,#FFFFFF,#3B82F6,#FFFFFF,#7C3AED,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#EEF2FF,#64748B,#E5E5E5,#DC2626,#FFFFFF,#1E40AF,calm clinical health medical patient serene trust wellness,Non-green alternative: deep blue calm + violet accent; neutral bg
265,Healthcare / Wellness (Lavender),#7C3AED,#FFFFFF,#A78BFA,#0F172A,#0891B2,#0F172A,#FAFAFA,#1E1B4B,#FFFFFF,#1E1B4B,#F5F3FF,#64748B,#E5E5E5,#DC2626,#FFFFFF,#7C3AED,breathe calm healing mental mindfulness serenity soft wellness,Non-green alternative: lavender serenity + cyan accent; neutral bg
266,Healthcare / Wellness (Warm Peach),#C2410C,#FFFFFF,#EA580C,#0F172A,#1D4ED8,#FFFFFF,#FFFFFF,#1C1917,#FFFBF7,#1C1917,#FEF3E2,#78716C,#E7E5E0,#DC2626,#FFFFFF,#C2410C,care clinic gentle health human nourish recovery warmth wellness,Non-green alternative: warm terracotta + trust blue; cream card on white bg
267,Survey / Form Builder,#334155,#FFFFFF,#475569,#FFFFFF,#0891B2,#0F172A,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F1F5F9,#64748B,#E2E8F0,#DC2626,#FFFFFF,#334155,academic administration education evaluation institutional research school university,Swiss slate — authoritative cool grey + cyan progress accent; pure white bg
268,Survey / Form Builder,#0F766E,#FFFFFF,#14B8A6,#0F172A,#7C3AED,#FFFFFF,#FAFAFA,#134E4A,#FFFFFF,#134E4A,#F5F5F5,#64748B,#E5E5E5,#DC2626,#FFFFFF,#0F766E,clinic health hospital medical patient screening wellness diagnosis,Clinical teal — healthcare trust + violet highlight; neutral bg
269,Survey / Form Builder,#6D28D9,#FFFFFF,#8B5CF6,#FFFFFF,#E11D48,#FFFFFF,#FAFAFA,#2E1065,#FFFFFF,#2E1065,#F5F5F5,#64748B,#E5E5E5,#DC2626,#FFFFFF,#6D28D9,customer experience feedback nps rating review satisfaction ux,Violet focus — creative engagement + rose CTA; light neutral bg
270,Survey / Form Builder,#1E40AF,#FFFFFF,#3B82F6,#FFFFFF,#B45309,#FFFFFF,#FFFFFF,#1E3A5F,#FFFFFF,#1E3A5F,#F5F5F5,#64748B,#E5E5E5,#DC2626,#FFFFFF,#1E40AF,civic compliance government inspection municipal official policy public regulatory,Civic blue — institutional authority + warm amber action; pure white bg
271,Survey / Form Builder,#A0455A,#FFFFFF,#8A3A4C,#FFFFFF,#4F7A6B,#FFFFFF,#FCF7F6,#2C2326,#FFFFFF,#2C2326,#F3E8EA,#7A6B6E,#E8D9DC,#DC2626,#FFFFFF,#A0455A,caring gentle soft warm wellbeing compassion supportive survey form,Dusty rose questionnaire — gentle rose + sage on warm white
272,Survey / Form Builder,#B0532F,#FFFFFF,#8F4124,#FFFFFF,#3E6E63,#FFFFFF,#FDF6F1,#2A211C,#FFFFFF,#2A211C,#F4E8E0,#7C6E64,#E8D6CB,#DC2626,#FFFFFF,#B0532F,earthy warm handcraft artisan grounded community local survey form,Terracotta questionnaire — clay + deep teal on warm linen
273,Survey / Form Builder,#6E6A2A,#FFFFFF,#58551F,#FFFFFF,#9B3B52,#FFFFFF,#FAF9F2,#2A2A1E,#FFFFFF,#2A2A1E,#EFEEE2,#6E6D5A,#DCDBC8,#DC2626,#FFFFFF,#6E6A2A,natural warm organic calm wellness mindful botanical survey form,Warm olive questionnaire — olive + berry on warm ivory
274,Survey / Form Builder,#8E3B47,#FFFFFF,#722F39,#FFFFFF,#976319,#FFFFFF,#FCF6F4,#2A2022,#FFFFFF,#2A2022,#F2E7E6,#7A6E6F,#E6D4D3,#DC2626,#FFFFFF,#8E3B47,refined warm cozy mature autumnal heritage classic survey form,Warm wine questionnaire — wine + ochre on warm blush
275,Survey / Form Builder,#E85C42,#1F1F1F,#C44B34,#FFFFFF,#2E7D74,#FFFFFF,#FFF7F4,#2B1B16,#FFFFFF,#2B1B16,#FBEAE5,#7C685F,#F4D9D0,#DC2626,#FFFFFF,#E85C42,vibrant friendly energetic playful warm cheerful coral survey form,Coral questionnaire — vivid coral + teal on warm white
276,Survey / Form Builder,#E0701A,#1F1F1F,#B85912,#FFFFFF,#235E6E,#FFFFFF,#FFF8F1,#2A2016,#FFFFFF,#2A2016,#FAEBDD,#7D6E5E,#F2DBC4,#DC2626,#FFFFFF,#E0701A,warm energetic seasonal festive lively bright orange survey form,Pumpkin questionnaire — bright orange + deep teal on warm cream
277,Survey / Form Builder,#E0A200,#1F1F1F,#B88400,#FFFFFF,#7A3F6E,#FFFFFF,#FFFCF0,#2A2410,#FFFFFF,#2A2410,#F5EFDB,#787256,#E8DEBE,#DC2626,#FFFFFF,#E0A200,warm sunny optimistic bright golden cheerful marigold survey form,Marigold questionnaire — golden yellow + plum on warm ivory
278,Survey / Form Builder,#C72E5A,#FFFFFF,#A8264C,#FFFFFF,#1F7A6B,#FFFFFF,#FFF5F7,#2B1820,#FFFFFF,#2B1820,#FBE6EC,#7D6571,#F4D4DE,#DC2626,#FFFFFF,#C72E5A,vibrant warm playful bold youthful pink cerise survey form,Cerise questionnaire — vivid pink + teal on warm blush
